date,treas3mo,treas2yr,treas10yr,Aaa,Baa
JAN1962,2.7571002,3.54926818,4.08318182,4.42000008,5.07999992
FEB1962,2.77051439,3.52257222,4.03944444,4.42000008,5.06999969
MAR1962,2.76078657,3.25231818,3.93045455,4.39000034,5.03999996
APR1962,2.76719161,3.173265,3.843,4.32999992,5.02000046
MAY1962,2.7220799,3.19045909,3.87363636,4.27999973,5
JUN1962,2.76576745,3.16659048,3.90904762,4.27999973,5.02000046
JUL1962,2.96224037,3.40234762,4.01428571,4.34000015,5.05000019
AUG1962,2.86202071,3.23988696,3.97565217,4.35000038,5.06000042
SEP1962,2.8141173,3.16356842,3.97894737,4.31999969,5.02999973
OCT1962,2.77921831,3.08128182,3.92545455,4.27999973,4.98999977
NOV1962,2.86960637,3.16342105,3.91578947,4.25,4.96000004
DEC1962,2.90556751,3.15797,3.8645,4.23999977,4.92000008
JAN1963,2.9483289,3.20419091,3.83363636,4.21000004,4.90999985
FEB1963,2.96143583,3.15625556,3.92111111,4.18999958,4.89000034
MAR1963,2.93279368,3.20516667,3.92857143,4.18999958,4.88000011
APR1963,2.93762101,3.27445238,3.97095238,4.21000004,4.86999989
MAY1963,2.96537814,3.23369545,3.93,4.22000027,4.85000038
JUN1963,3.0297505,3.315385,3.993,4.22999954,4.84000015
JUL1963,3.22019413,3.5242,4.02045455,4.26000023,4.84000015
AUG1963,3.36810643,3.5772,4.00227273,4.28999996,4.82999992
SEP1963,3.42307808,3.62022,4.0775,4.31000042,4.84000015
OCT1963,3.49714607,3.63201304,4.10608696,4.31999969,4.82999992
NOV1963,3.5679511,3.73819412,4.12176471,4.32999992,4.84000015
DEC1963,3.56758196,3.80278571,4.12857143,4.35000038,4.85000038
JAN1964,3.57177289,3.83340909,4.16681818,4.39000034,4.82999992
FEB1964,3.5792478,3.83178889,4.14555556,4.35999966,4.82999992
MAR1964,3.59268364,3.9885619,4.21952381,4.38000011,4.82999992
APR1964,3.51924364,3.97587273,4.23227273,4.39999962,4.85000038
MAY1964,3.52292991,3.86741,4.2,4.40999985,4.85000038
JUN1964,3.52339069,3.85084545,4.17,4.40999985,4.85000038
JUL1964,3.50904631,3.72659091,4.18590909,4.39999962,4.82999992
AUG1964,3.5448939,3.73938095,4.19380952,4.40999985,4.81999969
SEP1964,3.58061553,3.84455714,4.20380952,4.42000008,4.81999969
OCT1964,3.62116437,3.85794286,4.18809524,4.42000008,4.81000042
NOV1964,3.69357281,3.9009,4.15277778,4.43000031,4.81000042
DEC1964,3.88786862,3.97520909,4.17954545,4.43999958,4.81000042
JAN1965,3.85948459,3.88864,4.1895,4.43000031,4.80000019
FEB1965,3.98473459,3.95568333,4.21111111,4.40999985,4.77999973
MAR1965,3.98373068,4.00931739,4.21043478,4.42000008,4.77999973
APR1965,3.98079239,3.96752857,4.20380952,4.43000031,4.80000019
MAY1965,3.9436229,3.96589,4.2115,4.43999958,4.81000042
JUN1965,3.85699639,3.92457273,4.21318182,4.46000004,4.85000038
JUL1965,3.88810998,3.92272381,4.2047619,4.47999954,4.88000011
AUG1965,3.89570187,4.00959545,4.25227273,4.48999977,4.88000011
SEP1965,3.97789603,4.12360476,4.29047619,4.52000046,4.90999985
OCT1965,4.08148777,4.1642,4.3495,4.56000042,4.93000031
NOV1965,4.14423111,4.27678421,4.44894737,4.60000038,4.94999981
DEC1965,4.443105,4.61866364,4.61545455,4.68000031,5.02000046
JAN1966,4.6498393,4.75885714,4.61238095,4.73999977,5.06000042
FEB1966,4.71564106,4.85977368,4.83210526,4.77999973,5.11999989
MAR1966,4.64969237,4.85332609,4.87347826,4.92000008,5.31999969
APR1966,4.68160198,4.75772,4.75,4.96000004,5.40999985
MAY1966,4.70100716,4.85169048,4.77857143,4.97999954,5.47999954
JUN1966,4.56152419,4.91145,4.81454545,5.06999969,5.57999992
JUL1966,4.86356143,5.11009,5.018,5.15999985,5.68000031
AUG1966,5.02828776,5.4503087,5.22434783,5.31000042,5.82999992
SEP1966,5.44149085,5.56269524,5.18238095,5.48999977,6.09000015
OCT1966,5.4200825,5.30917,5.0115,5.40999985,6.10000038
NOV1966,5.39268596,5.35645263,5.15526316,5.35000038,6.13000011
DEC1966,5.03311487,5.01949524,4.84285714,5.39000034,6.18000031
JAN1967,4.78499958,4.61695714,4.57904762,5.19999981,5.97000027
FEB1967,4.62393355,4.58755,4.62666667,5.02999973,5.81999969
MAR1967,4.31777403,4.33787273,4.54181818,5.13000011,5.85000038
APR1967,3.89040283,4.139935,4.5935,5.10999966,5.82999992
MAY1967,3.65287045,4.34497727,4.84772727,5.23999977,5.96000004
JUN1967,3.58467448,4.67775455,5.02272727,5.43999958,6.14999962
JUL1967,4.26344859,5.02411,5.159,5.57999992,6.26000023
AUG1967,4.32442525,5.132,5.27565217,5.61999989,6.32999992
SEP1967,4.48545026,5.255285,5.302,5.64999962,6.39999962
OCT1967,4.62039363,5.30120952,5.48095238,5.81999969,6.52000046
NOV1967,4.79209545,5.54538,5.7535,6.06999969,6.72000027
DEC1967,5.03741109,5.579795,5.699,6.18999958,6.93000031
JAN1968,5.06468882,5.3846,5.52863636,6.17000008,6.84000015
FEB1968,5.04749473,5.40870526,5.56368421,6.10000038,6.80000019
MAR1968,5.23682023,5.59851905,5.74,6.10999966,6.85000038
APR1968,5.45100031,5.54075,5.6385,6.21000004,6.97000027
MAY1968,5.73373014,5.83380455,5.86954545,6.27000046,7.02999973
JUN1968,5.59950719,5.673265,5.718,6.27999973,7.06999969
JUL1968,5.38630791,5.36246364,5.49545455,6.23999977,6.97999954
AUG1968,5.15684331,5.14353636,5.42045455,6.02000046,6.81999969
SEP1968,5.26549344,5.14371,5.46,5.97000027,6.78999996
OCT1968,5.42495267,5.22359565,5.5826087,6.09000015,6.84000015
NOV1968,5.52668982,5.33094444,5.69611111,6.18999958,7.01000023
DEC1968,6.03812546,5.86778095,6.03190476,6.44999981,7.22999954
JAN1969,6.22445324,6.04634545,6.04181818,6.59000015,7.31999969
FEB1969,6.20524626,6.19506842,6.18894737,6.65999985,7.30000019
MAR1969,6.09926111,6.297445,6.296,6.85000038,7.51000023
APR1969,6.19790393,6.15901429,6.17333333,6.89000034,7.53999996
MAY1969,6.12549665,6.3832381,6.32333333,6.78999996,7.52000046
JUN1969,6.52759921,6.84810952,6.57428571,6.97999954,7.69999981
JUL1969,7.09672489,7.45800476,6.71952381,7.07999992,7.84000015
AUG1969,7.07789868,7.43772381,6.69142857,6.97000027,7.85999966
SEP1969,7.18747648,7.78205714,7.15952381,7.14000034,8.05000019
OCT1969,7.09485969,7.59946818,7.09545455,7.32999992,8.22000027
NOV1969,7.34072724,7.73178824,7.14411765,7.35000038,8.25
DEC1969,7.92473223,8.05083182,7.65409091,7.72000027,8.64999962
JAN1970,7.97625259,8.1744,7.7947619,7.90999985,8.85999966
FEB1970,7.22577383,7.69426667,7.23833333,7.93000031,8.77999973
MAR1970,6.71730751,7.07958571,7.07285714,7.84000015,8.63000011
APR1970,6.60228875,7.25180909,7.39090909,7.82999992,8.69999981
MAY1970,6.93211714,7.90625238,7.90619048,8.10999966,8.97999954
JUN1970,6.76816808,7.79476364,7.84181818,8.47999954,9.25
JUL1970,6.53870151,7.44948636,7.45727273,8.43999958,9.39999962
AUG1970,6.49911872,7.31384286,7.52714286,8.13000011,9.43999958
SEP1970,6.20900666,6.99304762,7.38952381,8.09000015,9.39000034
OCT1970,5.98792299,6.82520952,7.32666667,8.02999973,9.32999992
NOV1970,5.35492415,6.01596667,6.84111111,8.05000019,9.38000011
DEC1970,4.93244703,5.47591364,6.39136364,7.64000034,9.11999989
JAN1971,4.49609377,5.173565,6.2385,7.35999966,8.73999977
FEB1971,3.74594768,4.52240556,6.11222222,7.07999992,8.39000034
MAR1971,3.42398149,4.11391739,5.70347826,7.21000004,8.46000004
APR1971,3.9146595,4.88981429,5.83380952,7.25,8.44999981
MAY1971,4.20009132,5.60548,6.3925,7.52999973,8.61999989
